recrutement,nom,datesClefs,logo,codePostal,titresMajeurs,administratif,description,effectifs,email,rue,ville,anneeCreation,statut,contacts,RCS,categorie,titresEnCours,telephone,actualite,url,adresse,NAF,fax,website,chiffreAffaire
,RevolutionR,,http://www.afjv.com/img/logo2/revolutionr.png,92500,,,"Depuis plus de 20 ans les dirigeants de RevolutionR sont spécialisés dans l'événementiel, les relations presse et la promotion dans les univers du Sport, du Tourisme et des Jeux Vidéo. RevolutionR conseille, dirige et créé des événements originaux et différents pour que le résultat soit spectaculaire et apprécié de tous. RevolutionR maîtrise à la fois les relations avec la presse Grand Public, spécialisée et avec les communautés. Grâce à de nombreux relais dans les rédactions des média nationaux (TV, presse écrite, magazine, radios), RevolutionR diffuse votre message au plus grand nombre.",Information indisponible,info@revolutionr.com,"29, rue du Lieutenant Colonel Montbrison",Rueil Malmaison,2007,SA,"Gilles Broise - Directeur Associé - gbroise@revolutionr.com 
 Thierry Auzet - Directeur Associé - tauzet@revolutionr.com",Nanterre B 493 963 870,Prestataires,,01 47 10 08 30,,http://www.afjv.com/societe/544-revolutionr.htm,"29, rue du Lieutenant Colonel Montbrison 92500 Rueil Malmaison",7311Z - Activités des agences de publicité,01 47 49 57 99,http://www.revolutionr.com,3103200
,Ragequit Corporation,,http://www.afjv.com/img/logo2/ragequit-corporation.png,75012,,,"L'équipe est composée de 4 vétérans de l'industrie du jeu vidéo qui ont travaillé pour des studios comme Quantic Dream, Evolution Studios, Sony Liverpool (rip. ..), Darkworks, Don't Nod, Nadeo, Ankama, Virtual Studio, 4X Technologies, Visual Impact , Lexis Numérique et Vivendi Universal Games.",4,,"23, boulevard de Picpus",Paris,2013,SA,"Pierre-Etienne ‘P.E’ Travers - Gérant 
 Paul ‘Pao’ Chadeisson - Gérant 
 Cedric ‘Elliot’ Lecacheur - Gérant 
 Jeremy ‘Sano’ Chaïeb - ",Paris B 794 638 353,Studios,,01 22 33 44 55,"L'équipe de Strike Vector en guerre contre le free-to-play8 août 2013 - Nous souhaitons que chaque personne jouant a Strike Vector ai accès au même contenu que son voisin quel que soit le moment auquel il l'a acheté. Les jeux comme Quake, Counter strike ou plus ...",http://www.afjv.com/societe/716-ragequit-corporation.htm,"23, boulevard de Picpus 75012 Paris",5821Z - Édition de jeux électroniques,,,830300
,Presse Manette (SuperSoluce),,http://www.afjv.com/img/logo2/supersoluce.png,63170,,,"Numéro 1 en France des sites de jeux vidéo à thématique ""astuces/soluces"", Supersoluce.com vient à la rescousse des joueurs de tout horizon depuis maintenant plus de 7 ans. Autrefois présent aussi bien sur l’actu que sur la partie guides/soluces, le site se consacre aujourd’hui uniquement à son domaine de prédilection, c'est à dire toutes les formes d'aide autour du jeu.Avec plus d’1,9 millions de visiteurs en moyenne par mois (soit  environ 4. 400. 000 visites/source Google analytics janvier 2014), Supersoluce.com connait une fréquentation en constante progression depuis sa création. Une notoriété qui lui assure d’ailleurs d’occuper le top 5 des sites vidéoludiques français et même la seconde place si l’on additionne ses résultats avec ceux générés par le reste du portail Jeuxactu.com dont il est partenaire.",1,loic.pomier@supersoluce.com,6 allée Groupe N Bourbaki,Aubière,2007,SAS,"Loïc POMIER -  - Président - loic.pomier@supersoluce.com 
 Presse Manette -  loic.pomier@supersoluce.com 
 Alexandre Stervinou - Rédacteur en chef - alexandre.stervinou@supersoluce.com 
 Sylvain Bressy - Rédacteur en chef adjoint - sylvain.bressy@supersoluce.com",Clermont-Ferrand B 534 406 087,Presse,,06 61 87 53 85,Supersoluce change de look et devient encore plus complet4 fév. 2014 - Supersoluce.com profite aujourd'hui de la mise en ligne de sa nouvelle version pour se recentrer sur ses domaines de prédilection : Des guides de jeux toujours plus complets en images et en vidéos...,http://www.afjv.com/societe/753-presse-manette-supersoluce.htm,6 allée Groupe N Bourbaki 63170 Aubière,5814Z - Édition de revues et périodiques,,http://www.supersoluce.com,56300
,Quantic Dream,,http://www.afjv.com/img/logo/_quantic_dream.gif,75020,,,"Quantic Dream est un studio indépendant de production de divertissements basé à Paris. La société crée des concepts originaux et maîtrise l'intégralité de la chaîne de production et des technologies nécessaires à la réalisation de jeux vidéo sur consoles de salon comme sur PC. Ses concepts font l'objet d'exploitations sur d'autres media (livres, films) que le studio développe en relation avec des partenaires spécialisés.La société offre aussi ses services dans le domaine de la Motion Capture et la full Performance Capture (studio interne Vicon 64 caméras).",144,contact@quanticdream.com,56 boulevard Davout,Paris,1997,SA,"David Cage - PDG 
 Guillaume de Fondaumière - co-DG - gdf@quanticdream.com 
 Frédérique Barkoff - Responsable commerciale studio de motion capture - fbarkoff@quanticdream.com",Paris B 412 332 686,Studios,,01 44 64 00 90,"Making of #4 de Beyond : Two Souls12 sept. 2013 - Cette vidéo du Making of #4 de Beyond : Two Souls s'attarde sur les Arts Graphiques, réelles prouesses accomplies par les artistes de Quantic Dream. Beyond: Two Souls sortira en exclusivité sur ... 
 Le nouveau trailer de Beyond: Two Souls30 août 2013 - Dans ce trailer, vous découvrirez nos 2 stars hollywoodiennes, Ellen Page et Willem Dafoe qui nous parlent des personnages qu'ils interprètent dans la nouvelle création de David Cage et son studio ... 
 Le jeu de Quantic Dream sélectionné au Tribeca Film Festival22 avr. 2013 - Beyond Two Souls, la dernière production du studio parisien Quantic Dream, fait partie de la sélection officielle du Tribeca Film Festival.[br]Et c'est la première fois qu'un jeu vidéo fait ... 
 Coup d'envoi du groupe de travail jeu vidéo5 avr. 2013 - Aurélie Filippetti, ministre de la Culture et de la Communication, et Fleur Pellerin, ministre déléguée auprès du ministre du Redressement productif chargée des Petites et Moyennes Entreprises, ... 
 Willem Dafoe aux côtés d'Ellen Page dans Beyond: Two Souls1 mars 2013 - Hollywood s'invite dans le monde du jeu vidéo : Sony a annoncé aujourd'hui que Willem Dafoe (Platoon, Spider-Man) donnerait la réplique à Ellen Page (Juno, Inception) dans BEYOND: Two Souls, la ... 
 PS4 : Interview vidéo de David Cage - Quantic Dream21 fév. 2013 - Interview vidéo de David Cage - Président de Quantic Dream - à l'occasion de l'annonce de la Playstation 4 (PS4) lors de la conférence de Sony qui s'est tenue cette nuit à New York. Toutes les ... 
 MasterClass : Rencontrez David Cage, créateur d'Heavy Rain14 fév. 2013 - La Masterclass est un nouvel événement culturel gratuit qui invite un créateur renommé du jeu vidéo à revenir sur sa carrière devant un public de 350 personnes. La Masterclass Jeux vidéo se ... 
 Quantic Dream dévoile Kara9 mars 2012 - Située dans un futur plus ou moins proche, la vidéo montre l'histoire d'une androïde appelée KARA qui éprouve des émotions humaines alors même qu'elle est en cours de construction sur une chaîne de ...",http://www.afjv.com/societe/426-quantic-dream.htm,56 boulevard Davout 75020 Paris,"5912Z - Post-production de films cinématographiques, de vidéo et de programmes de télévision",,http://www.quanticdream.com,11934100
,Pop Translation,,http://www.afjv.com/img/logo2/pop-translation.png,92130,,,,Information indisponible,hello@poptranslation.com,40 bis rue Ernest Renan,Issy-les-Moulineaux,2011,SARL,"Alexandre MORELLI - CEO - alexandre.morelli@poptranslation.com 
 Sylvain Cassini - CTO - sylvain.cassini@poptranslation.com",Nanterre B 529 554 529,Prestataires,,01 46 42 01 43,,http://www.afjv.com/societe/893-pop-translation.htm,40 bis rue Ernest Renan 92130 Issy-les-Moulineaux,6209Z - Autres activités informatiques,,http://www.poptranslation.com/,
,Pretty Simple,,http://www.afjv.com/img/logo2/pretty_simple.png,75002,,,"Pretty Simple est un champion du jeu social au niveau européen et mondial. Basée à Paris, l'équipe de 50 personnes de Pretty Simple développe et publie des jeux vidéos free-to-play. Parmi ces créations originales se trouvent Criminal Case, premier jeu social d'enquêtes policières et énorme succès 2013 sur Facebook, ou encore MyShops, un jeu de gestion de boutiques. Créée en 2010 par Bastien Cazenave et Corentin Raux, avec l'appui du fond Idinvest, Pretty Simple est aujourd'hui une startup à forte croissance dans l'industrie des jeux vidéo, et compte plus de 35 millions de joueurs actifs chaque mois.",43,contact@prettysimplegames.com,6 rue de Hanovre,Paris,2010,SA,"Bastien Cazenave - Président Directeur Général - bastien@prettysimplegames.com 
 Corentin Raux - Directeur Général Délégué - corentin@prettysimplegames.com 
 Serge Versillé - Contact presse - serge@prettysimplegames.com",Paris B 519 554 299,Studios,,01 47 97 23 51,"Criminal Case, élu meilleur jeu 2013 sur Facebook10 déc. 2013 - Cette distinction exceptionnelle voit même Criminal Case surpasser des phénomènes mondiaux comme Candy Crush ou Clash of Clans. Cette récompense s'ajoute à celle reçue le 4 décembre, lorsque ... 
 Criminal Case : un an et 100 millions de joueurs27 nov. 2013 - 100 millions de personnes ont joué à Criminal Case sur Facebook au cours des 12 derniers mois. Ce chiffre représente 40% de l'ensemble des utilisateurs Facebook à qui il arrive de jouer à un jeu ... 
 Criminal Case, 2e jeu Facebook le plus joué dans le monde6 juin 2013 - Voici une infographie célébrant les 9 millions de joueurs quotidiens de Criminal Case, un jeu conçu et réalisé par la jeune société parisienne Pretty Simple. Criminal Case est désormais le deuxième... 
 Pretty Simple dans le top 10 des développeurs de jeux FB20 mars 2013 - Plus de 3 millions de joueuses se connectent ainsi quotidiennement à Criminal Case, et la communauté continue à croître rapidement. Publié initialement en anglais, Criminal Case est désormais ... 
 Croissance record pour Criminal Case de Pretty Simple28 janv. 2013 - En seulement deux mois, Criminal Case a déjà atteint un million de DAU (Daily Active Users). Propulsé par une croissance organique record et sans publicité associée, Criminal Case est en route ...",http://www.afjv.com/societe/542-pretty-simple.htm,6 rue de Hanovre 75002 Paris,5821Z - Édition de jeux électroniques,,http://www.prettysimplegames.com/,31023600
,Polar Lights Studio,,http://www.afjv.com/img/logo2/polar-lights-studio.png,94400,,,"Polar Lights Studio est une société de développement de jeux vidéos fondée en 2014 dans le but de proposer des créations innovantes à un large public, qu'il s'agisse de jeux sur appareils mobiles ou sur ordinateurs et consoles.",6,,20 avenue Pierre Brosselette,Vitry-sur-Seine,2014,SARL,"Vincent TARTAR - Gérant - Directeur de Création - vincent.tartar@polarlights-studio.com 
 Alexis BOUYER - Directeur de Création - alexis.bouyer@polarlights-studio.com",Creteil B 807 950 068,Studios,,,,http://www.afjv.com/societe/862-polar-lights-studio.htm,20 avenue Pierre Brosselette 94400 Vitry-sur-Seine,5821Z - Édition de jeux électroniques,,https://www.polarlights-studio.com/,
,Pollop Studio,,http://www.afjv.com/img/logo2/pollop_studio.png,94210,,,Pollop-Studio est un studio de création basé à Paris. Nous sommes spécialisé dans la conception et la réalisation d’applications multimedias et de jeux sur supports mobiles et desktop.,Information indisponible,dsi@pollop-studio.com,30 avenue Jeanne D'Arc,Saint Maur des Fossés,2009,SARL,"Pierre-Yves Roudy - Gérant - Directeur Créatif 
 Jérémie Sellam - Développeur",Creteil B 513 475 970,Studios,,,,http://www.afjv.com/societe/784-pollop-studio.htm,30 avenue Jeanne D'Arc 94210 Saint Maur des Fossés,6201Z - Programmation informatique,,http://www.pollop-studio.com/,36500
,Polymorph Software,,http://www.afjv.com/img/logo2/polymorph-software.png,35760,,,"Créé en 2002, Polymorph Software est un studio graphique spécialisé dans la réalisation et la production de contenus graphiques :",19,contact@polymorph.fr,"18, rue Edison",Montgermont,2002,SARL,"Fabrice GUICHARD - Gérant - contact@polymorph.fr 
 Jérôme FOUCHER - Directeur Technique",Rennes B 440 695 294,Prestataires,,02 99 30 60 60,,http://www.afjv.com/societe/419-polymorph-software.htm,"18, rue Edison 35760 Montgermont",6201Z - Programmation informatique,02 99 30 50 30,http://www.polymorph.fr/,1188300
,Pohlm Studio,,http://www.afjv.com/img/logo2/pohlm_studio.png,16000,,,"Etablis dans le centre d'Angoulême en 2010, POLM Studio est spécialisé dans la production de jeux vidéo originaux, commercialisés exclusivement sur les réseaux internationaux de distribution digitale (Tablettes / Smartphone). Nous misons sur ce marché en forte croissance, évalué à plusieurs dizaines de milliards de dollars et où les TPE/PME sont des acteurs importants, POLM Studio is a video game producer. POLM Studio créé les jeux de demain et produit des applications pour les objets connectées du futur.",7,contact@pohlmstudio.com,Les Ateliers Magelis,Angoulême,2010,SAS,"Frédéric Pedro - Président - fpedro@pohlmstudio.com 
 Axel Bertrand - Directeur Artistique 
 Jérôme Schurch - Directeur Technique 
 Julien Picard - Directeur technique 
 Marc Bagur - Directeur Innovation 
 Frédéric Fontaine - Relations distributeurs",Angouleme B 524 934 882,Studios,,09 54 81 13 62,"Polm Studio réussit son financement participatif22 juin 2015 - Ils ont été plus de 450 à répondre à l'appel, dont des ambassadeurs numériques comme Mathieu Moreux, Strategic Marketing Manager chez Thales Group. Soit 100.000€ en 10 jours ! 
 Polm Studio remporte le Grand Prix Alliancy 201530 mars 2015 - Ce partenariat est un véritable choc des culture, avec d'un côté un ""rhinocéros"" de l'industrie (13.000 salariés, 3.1 milliards de chiffre d'affaire, secteur de la Défense), et de l'autre côté une ... 
 Polm Studio reçoit le Grand Prix de l'innovation28 nov. 2014 - Le Grand Prix / Prix de l'innovation a été remis à Polm Studio, fondés par des anciens de l'ENJMIN d'Angoulême, pour leur business model et technologie innovante autour des jeux vidéo et des ... 
 Encore un prix international pour POLM Studio5 sept. 2014 - POLM Studio et 505Games sont fiers d'annoncer leur victoire à la Casual Connect Asie de Singapour. Le seul projet français récompensé "" Origami Challenge "" décroche le Grand Prix - Meilleur Jeu Indé. 
 Polm Studio remporte le Grand Prix de la Casual Connect18 mars 2014 - Sur plus de cent projets présélectionnés du monde entier, le seul projet français récompensé "" Dandelions : Chain of Seeds "" décroche le Grand Prix - Meilleur Jeu Indépendant ! Disponible sur iPhone 
 Microsoft publie le jeu français ""Hasta la Muerte""16 déc. 2011 - Né de l'imagination d'anciens étudiants de l'ENJMIN (Ecole Jeu Vidéo française) - le jeu remporte en 2008 plusieurs prix internationaux. Après une épopée au sein des équipes Ubisoft durant 2 ans, l'éq 
 Venez tester la tablette tactile Windows 8 de Microsoft21 sept. 2011 - Pohlm studio est propriétaire de la dernière tablette tactile Windows 8 de Microsoft. Et vous invite…à venir la tester en exclusivité et en avant-première mondiale aux Ateliers Magelis. Une ...",http://www.afjv.com/societe/572-pohlm-studio.htm,Les Ateliers Magelis 16000 Angoulême,6201Z - Programmation informatique,05 24 84 66 09,http://www.pohlmstudio.com,185100
,Push Start,,http://www.afjv.com/img/logo2/push-start.png,34830,,,Push Start a pour ambition de réunir l’ensemble des acteurs du jeu vidéo de la région qui a été récemment mise à l’honneur comme deuxième région de France en terme de nombre d’entreprises par le Baromètre du Syndicat National du Jeu Vidéo.,Information indisponible,info@push-start.org,Allée Yves Stourdzé,Clapiers,2015,Association Loi 1901,"Pascal Jardé (Mediapod) - Président 
 William David (Swing Swing Submarine) - Vice-Président 
 Guillaume Jamet (Is This Art) - Trésorier 
 Caroline Imbert (Cheese Burgames) - Secrétaire",,Associations / Syndicats,,,"Push Start lance un centre d'affaires dédié au Jeu Vidéo8 déc. 2016 - L'association des professionnels et futurs professionnels du jeu vidéo dans le Sud ouvre un lieu unique pour soutenir les studios et les indépendants. Au lancement, l'espace s'étend sur 300m2 mais ... 
 Exposition d'Artworks de jeux vidéo8 oct. 2015 - L'objectif de cette exposition est de montrer, au-delà des stéréotypes sur les jeux vidéo, la diversité artistique qui sous-tend leur création. Les 80 tableaux proviennent pour partie d'une ... 
 1ère édition de l'Independent Games Workshop à Montpellier7 mai 2015 - La nouvelle association des professionnels du jeu vidéo du Sud de la France invite les studios et développeurs indépendants à se réunir le 28 mai prochain pour une journée mêlant ateliers ... 
 Push Start : association des professionnels du jeu vidéo25 fév. 2015 - Push Start a pour ambition de réunir l'ensemble des acteurs du jeu vidéo de la région qui a été récemment mise à l'honneur comme deuxième région de France en terme de nombre d'entreprises par le ...",http://www.afjv.com/societe/859-push-start.htm,Allée Yves Stourdzé 34830 Clapiers,,,http://www.push-start.org/,
,Réseau Local,,http://www.afjv.com/img/logo2/reseau_local.png,93100,,,"L’évènementiel Full NumériqueAvec plus de 12 ans d’expérience dans la prestation technique et la location de matériel,nous avons développé un savoir faire unique autour de l’informatique, des réseaux et de la vidéo.En diffusant les médias sur les autoroutes de l’information, nos solutions dépassent le cadre du lieu des évènements pour les porter directement sur Internet.",6,contact@reseaulocal.com,"11, rue des Grandes Cultures",Montreuil,2002,SARL,"Yvan GUERIN - Technico Commercial - yvan@reseaulocal.com 
 Romain GAMBIER - Gérant - romain@reseaulocal.com",Bobigny B 441 210 424,Prestataires,,01 43 60 23 50,,http://www.afjv.com/societe/432-reseau-local.htm,"11, rue des Grandes Cultures 93100 Montreuil",6201Z - Programmation informatique,01 43 60 10 18,http://www.reseaulocal.com,695900
,Playtouch,,http://www.afjv.com/img/logo2/playtouch.png,92500,,,"Située en banlieu parisienne, Playtouch développe et auto-édite des jeux grand public, pour tous les supports Web (mobiles, PC, TV et tablettes).Playtouch a été fondée en 2010 par des vétérans de l'industrie des contenus mobiles, venant des opérateurs mobiles et des éditeurs de jeux.Playtouch est le plus innovant des studios de jeux vidéo en HTML5 sur le marché.Depuis 2012, les jeux HTML5 Playtouch ont été joué par plus de 6 millions d'utilisateurs.",Information indisponible,,21 boulevard Edouard Belin,Rueil Malmaison,2010,SAS,Stéphane HERVE - Président,Versailles B 528 099 666,Studios,,09 84 06 02 06,"Playtouch lève 300K€ et lance le site de jeux primés Jaxspot4 juil. 2012 - La société Playtouch, spécialisée dans le jeu casual, vient de finaliser une première levée de fonds de 300K€ pour accélérer le développement du site JAXSPOT, le premier service de jeux primés ...",http://www.afjv.com/societe/618-playtouch.htm,21 boulevard Edouard Belin 92500 Rueil Malmaison,5829C - Edition de logiciels applicatifs ,,http://www.playtouch.net,30400
,Polygonal Design,,http://www.afjv.com/img/logo2/unfold3d.png,13002,,,"Editeur de l'utilitaire Unfold3D.La fin de la corvée du dépliage avec UNFOLD3D, par Polygonal Design.La version 4 d'UNFOLD3D intègre des fonctions de découpe assistée sans équivalent, permet la gestion de maillages multiples, et met en oeuvre une technologie logicielle qui accélère le dépliage automatique dans un rapport au moins égal à100 par rapport à la version 2 ! Depuis la version 4, il existe des licences flottantes (licences ''site''), déjà adoptées par des acteurs majeurs du jeu vidéo (par exemple un grand créateur de jeux canadien, ou encore un concepteur de consoles qui domine actuellement le marché). De nombreux studios d'animation en synthèse 3D profitent aussi des performances d'UNFOLD3D. En France, la distribution de UNFOLD3D a été confiée à 3DVF (http://www.3dvf.fr).Pourquoi continuer à vous plier en quatre pour déplier vos modèles ?UNFOLD3D les déplie en un clin d'oeil ! Optimisez votre temps de travail en confiant le dépliage à votre ordinateur, qui l'effectuera en un temps record.Une version offerte et limitée à 1000 triangles de UNFOLD3D, dite ©Fraterniciel UNFOLD3D, est proposée gratuitement en téléchargement sur notre site.",Information indisponible,contact@polygonal-design.fr,37-41 rue Guibal,Marseille,2001,SARL,Josiane LEMOINE - Gérant,Marseille B 434 330 221,Middlewares,,04 91 62 44 82,,http://www.afjv.com/societe/418-polygonal-design.htm,37-41 rue Guibal 13002 Marseille,6201Z - Programmation informatique,,http://www.polygonal-design.fr,49000
,Playscope,,http://www.afjv.com/img/logo2/playscope.png,77600,,,"Fondé en 2000 par des journalistes d’expérience de la presse écrite spécialisée, Playscope est un site d’information jeux vidéo professionnel. Avec pour objectif de proposer des informations claires et accessibles secondées par du contenu audiovisuel de qualité, Playscope a acquis sa crédibilité en travaillant avec les principaux acteurs de l’industrie aussi bien côté constructeurs qu’éditeurs. Son approche plus mature et sa ligne éditoriale lui permet de toucher un public plus adulte.",Information indisponible,,"4, cours du Pont René",Bussy Saint Georges,2001,SARL,"Louis Houng -  Publicité - lhoung@playscope.com 
 Michel Houng -  Manager - mhoung@playscope.com",Meaux B 434 755 146,Presse,,,"Nouvelle version du site d'infos jeux vidéo Playscope3 oct. 2012 - Intégralement repensé, Playscope propose une interface optimisée pour les nouveaux usages et appareils. Très visuelle sur navigateur web classique, elle prend toute sa dimension sur tablettes ...",http://www.afjv.com/societe/670-playscope.htm,"4, cours du Pont René 77600 Bussy Saint Georges",6201Z - Programmation informatique,,http://www.playscope.com,74700
,Playsoft,,http://www.afjv.com/img/logo2/playsoft.png,75020,,,"Playsoft Games est un studio de création de jeux vidéos mobiles. Avec 90 personnes en France et Pologne, Playsoft est un leader des studios indépendants avec 2 activités :",19,info@playsoft.fr,"18, rue Soleillet",Paris,2004,SAS,"Nicolas Bensignor - Directeur - nicolas.bensignor@playsoft.fr 
 Pierre Olivier Monteil - Managing Director Playsoft Poland 
 Maxime Montasheri - Head of Publishing Playsoft Poland",Paris B 479 527 020,Studios,,01 58 53 50 30,"Playsoft lance Blade Lords sur IndieGoGo13 mars 2014 - L'équipe de production de Blade Lords a décidé de lancer une campagne de financement participatif via le site IndieGoGo. Celle-ci démarre aujourd'hui et aidera à financer la nouvelle version de ... 
 Jeu mobile ""Oggy et les Cafards"" 600 000 téléchargements8 août 2013 - L'été s'annonce vraiment difficile pour les cafards car vous êtes maintenant 600 000 à leur courir derrière et à tenter d'en écrabouiller un maximum. Disponible sur iOS et Androïd, le jeu mobile ... 
 Oggy et les Cafards : 150 000 téléchargements en 5 jours22 juil. 2013 - Avec déjà 150 000 téléchargements en seulement 5 jours, le jeu mobile Oggy et les Cafards disponible sur iOS et Androïd prend la première place du classement de l'App Store devançant ainsi les jeux... 
 Stage One propulse les jeunes talents du jeu vidéo26 oct. 2011 - C'est dans le cadre exceptionnel du Paris Games Week et son Forum des Métiers du Jeu Vidéo que s'est déroulée la remise de prix. Playsoft Games accompagnera les étudiants dans le développement, les... 
 Le jeu vidéo célèbre ses jeunes talents21 oct. 2011 - Pour la première fois un éditeur propose d'accompagner et de promouvoir les étudiants en Game Design des écoles partenaires et de concourir pour gagner un contrat d'édition ! Playsoft Games offre...",http://www.afjv.com/societe/416-playsoft.htm,"18, rue Soleillet 75020 Paris",6201Z - Programmation informatique,,http://www.playsoft.fr,2790000
,PixLR,,http://www.afjv.com/img/logo2/pixlr.png,34070,,,"PixLR est un  cluster, qui regroupe des entreprises du Languedoc-Roussillon travaillant dans le ""monde numérique"",  plus précisément :",Information indisponible,contact@pixlr.fr,"15, rue Isidore Girard",Montpellier,2009,Association Loi 1901,David MEKERSA - Président,,Associations / Syndicats,,06 13 07 14 27,,http://www.afjv.com/societe/832-pixlr.htm,"15, rue Isidore Girard 34070 Montpellier",,,http://www.pixlr.fr/,
,Playsmart,,http://www.afjv.com/img/logo2/playsmart.png,75020,,,"Playsmart est le site d'actualités et de tests des jeux pour smartphones, tablettes iOS Android et Windows Phone.",Information indisponible,contact@playsmart.fr,14 rue Soleillet,Paris,2014,SAS,"Maxime GARRETA - Président 
 Tristan BELOTTI - Co-Fondateur & Rédacteur en Chef",Paris B 799 629 936,Presse,,,Conférence dédiée aux professionnels du jeu vidéo mobile15 juil. 2015 - Le Playsmart Pro est une conférence qui se tiendra à Paris le 20 octobre 2015 à l'espace Saint Martin (75003) sur le thème des jeux vidéo mobiles. Cet évènement va rassembler plus de 300 personnes ...,http://www.afjv.com/societe/882-playsmart.htm,14 rue Soleillet 75020 Paris,7311Z - Activités des agences de publicité,,http://playsmart.fr/,
,Planet Nemo Interactive,,http://www.afjv.com/img/logo2/planetnemo.png,75017,,,"Planet Nemo Interactive est un studio de création numérique dédié à la conception et à la réalisation de contenus interactifs. Notre premier public, les enfants et les familles, nous a appris à créer des histoires qui captent et retiennent l’attention. Savoir-faire que nous mettons au service de notre public plus âgé et de nos nombreux clients. Parmi eux figurent de nombreuses marques mondiales (Disney, Universal, WWF, Hachette, etc.) ainsi que plusieurs grands musées. Nous les aidons à établir une relation efficace et créative avec leurs publics.Nous développons pour le Web, pour les consoles, les smartphones et tablettes.La qualité et l’originalité de nos productions ont été récompensées par de nombreux prix…et des clients qui reviennent. Notre première exigence est de livrer dans les temps et dans le budget imparti.Nous créons aussi des contenus interactifs pour nos propres marques TV (Bali, Missy Mila, Groove High). Cela nous permet de tester de nouveaux formats et de mieux comprendre les attentes de nos partenaires.",7,nemocontact@planetnemo.com,"18, rue Truffaut",Paris,2000,SARL,"Marc Boucharlat - Gérant - marc@planetnemo.com 
 Bénédicte Ronayette - DG Adjointe - benedicte@planetnemo.com 
 Recrutements - jobs@planetnemo.com",Paris B 432 937 183,Studios,,01 42 93 67 91,"Kids' Mania et Planet Nemo Interactive lancent Beebooks29 oct. 2014 - Les livres animés Beebooks s'appuient sur des licences reconnues et sont créés par une équipe de professionnels qui a reçu de nombreux prix, en France et à l'étranger. Ils sont produits avec un ...",http://www.afjv.com/societe/411-planet-nemo-interactive.htm,"18, rue Truffaut 75017 Paris",5911B - Production de films institutionnels et publicitaires,01 53 04 04 14,http://www.planetnemointeractive.com,403600
,Playdigious,,http://www.afjv.com/img/logo2/playdigious.png,93100,,,"Playdigious est une nouvelle société d’édition de jeux vidéo fondée par des entrepreneurs vétérans de l’industrie. La société se concentre sur le portage et l’édition de jeux Premium/Freemium sur smartphones, tablettes et Smart TV. Playdigious exerce son activité commerciale en région Parisienne et son activité de développement à Nancy.",Information indisponible,xavier@playdigious.com,22 rue Pépin,Montreuil-sous-Bois,2015,SAS,"Xavier LIARD - Président 
 Romain TISSERAND - Directeur général",Bobigny B 811 512 284,Editeurs,,,"Playdigious lève 600 000 € pour ses publicités jouables19 oct. 2016 - Playdigious, start-up basée à Nancy et à Montreuil, annonce l'arrivée prochaine de Adtrial, un service innovant permettant d'essayer des jeux mobiles directement dans les espaces publicitaires, ... 
 Les fondateurs de DotEmu créent l'éditeur Playdigious1 sept. 2015 - Les fondateurs de DotEmu, sont fiers d'annoncer la création de la société d'édition de jeux vidéo Playdigious ainsi que la sortie prochaine de Pix The Cat sur Nvidia Shield et sur tablettes.",http://www.afjv.com/societe/894-playdigious.htm,22 rue Pépin 93100 Montreuil-sous-Bois,6201Z - Programmation informatique,,http://www.playdigious.com/,
,Play Connection,,http://www.afjv.com/img/logo2/play-connection.png,75016,,,"Avec plus de 16 ans d'expertise dans l'industrie du Jeu Vidéo, Play Connection est devenu la référence  dans la vente et le Business Development international.Play Connection offre aux studios et aux éditeurs indépendants  une solution complète pour commercialiser leurs titres auprès des meilleurs éditeurs et distributeurs internationaux.",1,info@playconnection.fr,67 rue de l'Assomption,Paris,2006,SARL unipersonnelle,Olivier Grassiano - Directeur General - ograssiano@playconnection.fr,Paris B 489 708 180,Prestataires,,01 42 88 01 03,,http://www.afjv.com/societe/412-play-connection.htm,67 rue de l'Assomption 75016 Paris,5821Z - Édition de jeux électroniques,01 42 88 01 22,http://www.playconnection.fr,434800
,Pixelnest Studio,,http://www.afjv.com/img/logo2/pixelnest-studio.png,35000,,,"Société de création de jeux vidéos, de sites webs et d'applications desktops et mobiles.",2,afjv@pixelnest.io,81 Mail François Mitterand,Rennes,2014,SARL,"Damien MAYANCE - Fondateur, Developeur 
 Matthieu OGER - Fondateur, Developeur",Rennes B 800 147 894,Studios,,,,http://www.afjv.com/societe/841-pixelnest-studio.htm,81 Mail François Mitterand 35000 Rennes,6201Z - Programmation informatique,,http://pixelnest.io/,
